               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.020784,            0.010771,            0.011843,             0.81182,             0.76464,             0.82512,             0.59629,             0.02302,           0.0047297,            0.016704,             0.00307,             0.00307,             0.00307
                 107,             0.02076,            0.010756,            0.011901,             0.81088,             0.76579,             0.82529,             0.59565,            0.022988,           0.0047267,            0.016675,            0.003004,            0.003004,            0.003004
                 108,            0.020542,            0.010653,            0.011704,             0.80508,              0.7675,             0.82541,             0.59612,            0.022973,           0.0047272,            0.016652,            0.002938,            0.002938,            0.002938
                 109,            0.020521,            0.010637,            0.011297,             0.80473,             0.76617,              0.8244,             0.59618,            0.022976,           0.0047255,            0.016608,            0.002872,            0.002872,            0.002872
                 110,            0.020422,            0.010672,            0.011329,             0.80273,             0.76767,             0.82486,              0.5973,            0.022989,           0.0047238,            0.016573,            0.002806,            0.002806,            0.002806
                 111,            0.020041,            0.010431,            0.010621,             0.80099,             0.77003,              0.8251,             0.59781,            0.022973,           0.0047218,            0.016568,             0.00274,             0.00274,             0.00274
                 112,            0.020269,            0.010489,            0.010667,             0.80895,             0.76248,             0.82552,              0.5985,            0.022969,           0.0047201,            0.016552,            0.002674,            0.002674,            0.002674
                 113,            0.020105,            0.010466,             0.01093,             0.80879,             0.76355,             0.82624,             0.60043,            0.022969,           0.0047195,            0.016516,            0.002608,            0.002608,            0.002608
                 114,            0.020175,             0.01029,            0.010638,             0.81577,             0.75644,             0.82672,             0.60114,            0.022959,           0.0047164,            0.016483,            0.002542,            0.002542,            0.002542
                 115,            0.019802,            0.010405,            0.010656,             0.82086,             0.75349,              0.8285,              0.6018,            0.022947,            0.004713,            0.016455,            0.002476,            0.002476,            0.002476
                 116,            0.019921,            0.010468,            0.010493,             0.82243,             0.75172,             0.82816,             0.60162,            0.022934,           0.0047114,            0.016427,             0.00241,             0.00241,             0.00241
                 117,            0.019605,            0.010347,            0.010163,             0.82409,             0.75214,             0.82889,             0.60273,            0.022927,           0.0047097,            0.016423,            0.002344,            0.002344,            0.002344
                 118,            0.019594,            0.010241,            0.010038,             0.82269,             0.75102,             0.82934,             0.60292,            0.022929,           0.0047095,            0.016402,            0.002278,            0.002278,            0.002278
                 119,            0.019209,            0.010199,            0.009744,             0.82563,             0.74888,             0.82807,             0.60287,            0.022914,            0.004708,            0.016393,            0.002212,            0.002212,            0.002212
                 120,            0.019374,            0.010227,           0.0098139,             0.82965,             0.74774,             0.82836,             0.60319,            0.022905,            0.004707,             0.01638,            0.002146,            0.002146,            0.002146
                 121,            0.019569,            0.010177,              0.0101,             0.83299,             0.74634,             0.82875,             0.60371,            0.022903,           0.0047069,            0.016357,             0.00208,             0.00208,             0.00208
                 122,            0.019267,             0.01004,           0.0095956,             0.83494,             0.74524,             0.82882,             0.60414,            0.022888,           0.0047057,            0.016329,            0.002014,            0.002014,            0.002014
                 123,            0.019254,           0.0099618,           0.0094067,             0.83656,             0.74409,             0.82901,             0.60375,            0.022878,           0.0047058,            0.016316,            0.001948,            0.001948,            0.001948
                 124,            0.019045,           0.0099842,           0.0092109,             0.83158,             0.74767,             0.82913,             0.60428,            0.022859,           0.0047053,            0.016303,            0.001882,            0.001882,            0.001882
                 125,            0.018778,           0.0098841,           0.0090296,             0.83214,             0.74827,             0.82921,             0.60513,            0.022842,           0.0047055,            0.016292,            0.001816,            0.001816,            0.001816
                 126,             0.01907,           0.0098624,           0.0090345,             0.83077,             0.74836,             0.82926,             0.60497,            0.022823,           0.0047063,            0.016258,             0.00175,             0.00175,             0.00175
                 127,            0.018757,           0.0098656,           0.0083968,             0.83036,             0.74807,             0.82902,             0.60473,             0.02282,           0.0047074,            0.016241,            0.001684,            0.001684,            0.001684
                 128,            0.018591,              0.0099,           0.0090234,             0.80482,             0.77102,             0.82896,             0.60517,            0.022821,           0.0047082,            0.016221,            0.001618,            0.001618,            0.001618
                 129,            0.018597,           0.0097941,           0.0087111,             0.81072,             0.76335,             0.82917,             0.60503,            0.022828,           0.0047104,            0.016205,            0.001552,            0.001552,            0.001552
                 130,            0.018473,            0.009826,           0.0086815,             0.81286,             0.76277,              0.8291,             0.60543,            0.022826,           0.0047107,            0.016172,            0.001486,            0.001486,            0.001486
                 131,            0.018514,           0.0097597,           0.0084308,             0.82013,             0.75993,             0.82928,             0.60635,            0.022823,           0.0047123,             0.01614,             0.00142,             0.00142,             0.00142
                 132,            0.018158,           0.0096352,           0.0082482,              0.7982,             0.78077,             0.82957,             0.60649,            0.022825,           0.0047132,            0.016112,            0.001354,            0.001354,            0.001354
                 133,            0.018211,           0.0095921,           0.0083916,             0.79175,             0.78459,             0.82977,             0.60722,            0.022824,           0.0047145,            0.016084,            0.001288,            0.001288,            0.001288
                 134,            0.017893,            0.009592,           0.0076234,             0.83233,             0.74986,             0.82968,             0.60685,            0.022827,           0.0047154,             0.01606,            0.001222,            0.001222,            0.001222
                 135,            0.017809,           0.0094932,           0.0080703,             0.83207,             0.75193,             0.82944,             0.60677,            0.022826,           0.0047171,            0.016044,            0.001156,            0.001156,            0.001156
                 136,            0.017733,           0.0095663,            0.007552,              0.8318,             0.75265,             0.82927,             0.60693,            0.022817,           0.0047192,            0.016031,             0.00109,             0.00109,             0.00109
                 137,            0.017694,           0.0093154,           0.0076831,             0.83455,             0.74858,             0.82941,             0.60713,             0.02281,            0.004721,            0.016021,            0.001024,            0.001024,            0.001024
                 138,            0.017761,           0.0093343,           0.0074983,             0.83365,             0.74898,             0.82965,             0.60793,            0.022806,           0.0047221,            0.016011,            0.000958,            0.000958,            0.000958
                 139,            0.017584,           0.0093234,           0.0072723,             0.83027,             0.75239,              0.8296,             0.60746,            0.022806,           0.0047251,            0.015995,            0.000892,            0.000892,            0.000892
                 140,            0.017386,           0.0092643,           0.0072136,             0.83014,             0.75337,             0.82934,             0.60776,            0.022806,           0.0047271,            0.016003,            0.000826,            0.000826,            0.000826
                 141,            0.017272,           0.0092986,           0.0074045,             0.84068,             0.74812,             0.82896,             0.60795,            0.022802,           0.0047295,            0.015999,             0.00076,             0.00076,             0.00076
                 142,            0.017204,           0.0092234,            0.007152,             0.83841,             0.74718,             0.82886,             0.60808,            0.022803,           0.0047327,            0.015987,            0.000694,            0.000694,            0.000694
                 143,            0.017243,           0.0092749,           0.0070579,              0.8399,               0.746,             0.82896,             0.60851,            0.022811,           0.0047352,            0.015989,            0.000628,            0.000628,            0.000628
                 144,            0.016961,           0.0092462,           0.0069055,             0.83508,             0.75169,             0.82854,             0.60851,            0.022813,           0.0047376,            0.015995,            0.000562,            0.000562,            0.000562
                 145,            0.016868,           0.0091645,           0.0069191,             0.84533,             0.74583,             0.82914,             0.60849,            0.022807,           0.0047385,            0.015988,            0.000496,            0.000496,            0.000496
                 146,            0.016515,           0.0090999,            0.006562,             0.84704,             0.74673,             0.82946,             0.60855,             0.02281,           0.0047409,            0.015986,             0.00043,             0.00043,             0.00043
                 147,            0.016646,           0.0091873,           0.0067372,             0.84664,             0.74816,             0.82981,             0.60864,             0.02281,           0.0047432,            0.015989,            0.000364,            0.000364,            0.000364
                 148,            0.016525,           0.0090418,           0.0066772,             0.80992,             0.77675,             0.83027,             0.60945,            0.022808,           0.0047453,            0.015999,            0.000298,            0.000298,            0.000298
                 149,            0.016233,           0.0089765,           0.0066041,             0.81256,             0.77436,             0.83049,             0.60982,            0.022809,           0.0047479,            0.016001,            0.000232,            0.000232,            0.000232
