               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.033179,            0.016359,            0.039496,             0.62844,              0.5556,             0.61728,             0.33277,            0.032746,           0.0058979,            0.027899,            0.005512,            0.005512,            0.005512
                  70,            0.033033,            0.016476,            0.038838,             0.64912,             0.53966,             0.61731,             0.33339,            0.032755,           0.0058876,            0.027886,            0.005446,            0.005446,            0.005446
                  71,            0.032983,            0.016573,            0.039118,             0.63442,              0.5463,             0.61422,             0.33074,            0.032631,           0.0058925,            0.027838,             0.00538,             0.00538,             0.00538
                  72,            0.032972,            0.016384,            0.038649,             0.65216,              0.5447,             0.61569,              0.3328,            0.032607,           0.0058706,            0.027735,            0.005314,            0.005314,            0.005314
                  73,            0.033115,              0.0165,             0.03907,                0.63,             0.55326,             0.61782,             0.33255,            0.032642,           0.0058825,            0.027734,            0.005248,            0.005248,            0.005248
                  74,            0.033079,            0.016268,            0.038442,             0.63911,             0.55193,             0.61855,             0.33489,            0.032619,           0.0058789,            0.027641,            0.005182,            0.005182,            0.005182
                  75,            0.033171,            0.016444,            0.038629,             0.61223,             0.58581,             0.61877,             0.33175,            0.032631,           0.0058802,            0.027696,            0.005116,            0.005116,            0.005116
                  76,            0.032946,            0.016328,            0.038664,             0.61439,             0.58938,             0.62169,             0.33411,            0.032645,           0.0058755,            0.027806,             0.00505,             0.00505,             0.00505
                  77,            0.033149,            0.016359,            0.038614,             0.63031,             0.58174,             0.62256,             0.33405,            0.032667,           0.0058655,            0.027757,            0.004984,            0.004984,            0.004984
                  78,            0.032901,            0.016163,            0.038126,             0.63941,             0.56799,             0.62155,             0.33291,             0.03267,           0.0058625,            0.027893,            0.004918,            0.004918,            0.004918
                  79,            0.033158,            0.016265,            0.037778,             0.63178,             0.57614,              0.6223,             0.33625,             0.03264,           0.0058616,            0.027918,            0.004852,            0.004852,            0.004852
                  80,            0.033049,            0.016339,            0.038197,             0.62737,             0.57493,             0.62069,             0.33618,            0.032657,           0.0058624,             0.02798,            0.004786,            0.004786,            0.004786
                  81,            0.032669,            0.016265,            0.037825,             0.62315,             0.57914,             0.62259,             0.33692,             0.03267,           0.0058658,            0.028026,             0.00472,             0.00472,             0.00472
                  82,            0.032982,            0.016241,            0.037963,             0.62955,             0.57911,             0.62534,             0.33876,            0.032622,           0.0058663,            0.028032,            0.004654,            0.004654,            0.004654
                  83,            0.032721,            0.016266,            0.037665,             0.61892,             0.58811,             0.62842,             0.34059,            0.032612,           0.0058632,            0.027994,            0.004588,            0.004588,            0.004588
                  84,            0.032717,            0.016132,            0.037167,              0.6305,             0.58892,             0.63312,             0.34173,            0.032635,           0.0058633,            0.027953,            0.004522,            0.004522,            0.004522
                  85,            0.032759,            0.016284,            0.037372,             0.62948,             0.58928,             0.63428,             0.34223,            0.032645,           0.0058623,            0.027923,            0.004456,            0.004456,            0.004456
                  86,            0.032499,            0.016123,            0.037396,             0.62294,             0.58813,             0.63626,              0.3441,            0.032603,           0.0058573,              0.0279,             0.00439,             0.00439,             0.00439
                  87,            0.032572,            0.016272,            0.037466,             0.62906,             0.57366,              0.6367,             0.34418,            0.032611,            0.005858,            0.027873,            0.004324,            0.004324,            0.004324
                  88,            0.032507,            0.016451,            0.036988,             0.63315,             0.57921,             0.63819,              0.3434,             0.03263,            0.005855,            0.027836,            0.004258,            0.004258,            0.004258
                  89,            0.032761,            0.016219,            0.037275,             0.62753,             0.58126,             0.63859,              0.3425,            0.032644,           0.0058555,            0.027752,            0.004192,            0.004192,            0.004192
                  90,             0.03251,             0.01614,            0.036926,              0.6322,             0.57866,             0.63962,             0.34347,            0.032654,            0.005858,            0.027686,            0.004126,            0.004126,            0.004126
                  91,            0.032564,            0.016165,            0.037219,             0.63887,              0.5778,             0.64055,             0.34467,            0.032653,           0.0058584,             0.02763,             0.00406,             0.00406,             0.00406
                  92,            0.032163,             0.01623,            0.036492,             0.64756,             0.57659,              0.6412,             0.34539,             0.03263,           0.0058573,             0.02763,            0.003994,            0.003994,            0.003994
                  93,            0.032205,             0.01604,             0.03627,             0.65083,             0.57575,             0.64102,             0.34606,            0.032625,           0.0058553,            0.027581,            0.003928,            0.003928,            0.003928
                  94,            0.032157,            0.016021,            0.036945,             0.64762,             0.57996,             0.64431,             0.34741,            0.032624,           0.0058536,            0.027551,            0.003862,            0.003862,            0.003862
                  95,            0.032211,            0.015994,            0.036478,             0.64621,             0.58061,             0.64372,             0.34839,            0.032626,           0.0058508,            0.027523,            0.003796,            0.003796,            0.003796
